"code","name_latin","name_english","name_french","name_spanish"
"ABDU","Anas rubripes","American Black Duck","Canard noir","Ánade sombrío"
"ACFL","Empidonax virescens","Acadian Flycatcher","Moucherolle vert","Mosquero verdoso"
"ALFL","Empidonax alnorum","Alder Flycatcher","Moucherolle des aulnes","Mosquero alisero"
"AMAV","Recurvirostra americana","American Avocet","Avocette d'Amérique","Avoceta americana"
"AMBI","Botaurus lentiginosus","American Bittern","Butor d'Amérique","Avetoro lentiginoso"
"AMCO","Fulica americana","American Coot","Foulque d'Amérique","Focha americana"
"AMCR","Corvus brachyrhynchos","American Crow","Corneille d'Amérique","Cuervo americano"
"AMGO","Spinus tristis","American Goldfinch","Chardonneret jaune","Jilguero yanqui"
"AMGP","Pluvialis dominica","American Golden-Plover","Pluvier bronzé","Chorlito dorado americano"
"AMKE","Falco sparverius","American Kestrel","Crécerelle d'Amérique","Cernícalo americano"
"AMOY","Haematopus palliatus","American Oystercatcher","Huîtrier d'Amérique","Ostrero pío americano"
"AMPI","Anthus rubescens","American Pipit","Pipit d'Amérique","Bisbita norteamericano"
"AMRE","Setophaga ruticilla","American Redstart","Paruline flamboyante","Candelita norteña"
"AMRO","Turdus migratorius","American Robin","Merle d'Amérique","Zorzal robín"
"AMWI","Mareca americana","American Wigeon","Canard d'Amérique","Silbón americano"
"AMWO","Scolopax minor","American Woodcock","Bécasse d'Amérique","Chocha americana"
"ANHI","Anhinga anhinga","Anhinga","Anhinga d'Amérique","Anhinga americana"
"ANHU","Calypte anna","Anna's Hummingbird","Colibri d'Anna","Colibrí de Anna"
"ANMU","Synthliboramphus antiquus","Ancient Murrelet","Guillemot à cou blanc","Mérgulo antiguo"
"ARTE","Sterna paradisaea","Arctic Tern","Sterne arctique","Charrán ártico"
"ATFL","Myiarchus cinerascens","Ash-throated Flycatcher","Tyran à gorge cendrée","Copetón cenizo"
"ATPU","Fratercula arctica","Atlantic Puffin","Macareux moine","Frailecillo atlántico"
"ATSP","Spizelloides arborea","American Tree Sparrow","Bruant hudsonien","Chingolo arbóreo"
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","Pic à dos rayé","Pico Tridáctilo Americano"
"AUSH","Puffinus lherminieri","Audubon's Shearwater","Puffin d'Audubon","Pardela de Audubon"
"AWPE","Pelecanus erythrorhynchos","American White Pelican","Pélican d'Amérique","Pelícano norteamericano"
"BACS","Peucaea aestivalis","Bachman's Sparrow","Bruant des pinèdes","Chingolo de Bachman"
"BAEA","Haliaeetus leucocephalus","Bald Eagle","Pygargue à tête blanche","Pigargo americano"
"BAGO","Bucephala islandica","Barrow's Goldeneye","Garrot d'Islande","Porrón islándico"
"BAIS","Centronyx bairdii","Baird's Sparrow","Bruant de Baird","Chingolo de Baird"
"BANS","Riparia riparia","Bank Swallow","Hirondelle de rivage","Avión zapador"
"BAOR","Icterus galbula","Baltimore Oriole","Oriole de Baltimore","Turpial de Baltimore"
"BARS","Hirundo rustica","Barn Swallow","Hirondelle rustique","Golondrina común"
"BASA","Calidris bairdii","Baird's Sandpiper","Bécasseau de Baird","Correlimos de Baird"
"BAWW","Mniotilta varia","Black-and-white Warbler","Paruline noir et blanc","Reinita trepadora"
"BBCU","Coccyzus erythropthalmus","Black-billed Cuckoo","Coulicou à bec noir","Cuclillo piquinegro"
"BBLH","Cynanthus latirostris","Broad-billed Hummingbird","Colibri circé","Colibrí piquiancho común"
"BBMA","Pica hudsonia","Black-billed Magpie","Pie d'Amérique","Urraca de Hudson"
"BBPL","Pluvialis squatarola","Black-bellied Plover","Pluvier argenté","Chorlito gris"
"BBSA","Calidris subruficollis","Buff-breasted Sandpiper","Bécasseau roussâtre","Correlimos canelo"
"BBWA","Setophaga castanea","Bay-breasted Warbler","Paruline à poitrine baie","Reinita castaña"
"BBWD","Dendrocygna autumnalis","Black-bellied Whistling-Duck","Dendrocygne à ventre noir","Suirirí piquirrojo"
"BBWO","Picoides arcticus","Black-backed Woodpecker","Pic à dos noir","Pico ártico"
"BCCH","Poecile atricapillus","Black-capped Chickadee","Mésange à tête noire","Carbonero cabecinegro"
"BCHU","Archilochus alexandri","Black-chinned Hummingbird","Colibri à gorge noire","Colibrí gorjinegro"
"BCNH","Nycticorax nycticorax","Black-crowned Night-Heron","Bihoreau gris","Martinete común"
"BCPE","Pterodroma hasitata","Black-capped Petrel","Pétrel diablotin","Petrel antillano"
"BCVI","Vireo atricapilla","Black-capped Vireo","Viréo à tête noire","Vireo cabecinegro"
"BDOW","Strix varia","Barred Owl","Chouette rayée","Cárabo norteamericano"
"BEKI","Megaceryle alcyon","Belted Kingfisher","Martin-pêcheur d'Amérique","Martín gigante norteamericano"
"BEVI","Vireo bellii","Bell's Vireo","Viréo de Bell","Vireo de Bell"
"BEWR","Thryomanes bewickii","Bewick's Wren","Troglodyte de Bewick","Cucarachero colinegro"
"BGGN","Polioptila caerulea","Blue-gray Gnatcatcher","Gobemoucheron gris-bleu","Perlita grisilla"
"BHCO","Molothrus ater","Brown-headed Cowbird","Vacher à tête brune","Tordo cabecipardo"
"BHGR","Pheucticus melanocephalus","Black-headed Grosbeak","Cardinal à tête noire","Picogrueso cabecinegro"
"BHGU","Chroicocephalus ridibundus","Black-headed Gull","Mouette rieuse","Gaviota reidora"
"BHVI","Vireo solitarius","Blue-headed Vireo","Viréo à tête bleue","Vireo solitario"
"BITH","Catharus bicknelli","Bicknell's Thrush","Grive de Bicknell","Zorzalito de Bicknell"
"BLAG","Limosa limosa","Black-tailed Godwit","Barge à queue noire","Aguja colinegra"
"BLBW","Setophaga fusca","Blackburnian Warbler","Paruline à gorge orangée","Reinita gorjinaranja"
"BLGR","Passerina caerulea","Blue Grosbeak","Guiraca bleu","Azulillo grande"
"BLGU","Cepphus grylle","Black Guillemot","Guillemot à miroir","Arao aliblanco"
"BLJA","Cyanocitta cristata","Blue Jay","Geai bleu","Chara azul"
"BLKI","Rissa tridactyla","Black-legged Kittiwake","Mouette tridactyle","Gaviota tridáctila"
"BLPW","Setophaga striata","Blackpoll Warbler","Paruline rayée","Reinita estriada"
"BLRA","Laterallus jamaicensis","Black Rail","Râle noir","Polluela negruzca"
"BLSC","Melanitta americana","Black Scoter","Macreuse à bec jaune","Negrón americano"
"BLSK","Rynchops niger","Black Skimmer","Bec-en-ciseaux noir","Rayador americano"
"BLSW","Cypseloides niger","Black Swift","Martinet sombre","Vencejo negro"
"BLTE","Chlidonias niger","Black Tern","Guifette noire","Fumarel común"
"BLTG","Larus crassirostris","Black-tailed Gull","Goéland à queue noire","Gaviota japonesa"
"BLVU","Coragyps atratus","Black Vulture","Urubu noir","Zopilote negro"
"BNOW","Tyto alba","Barn Owl","Effraie des clochers","Lechuza común"
"BNST","Himantopus mexicanus","Black-necked Stilt","Échasse d'Amérique","Cigüeñuela de Cuello Negro"
"BOBO","Dolichonyx oryzivorus","Bobolink","Goglu des prés","Tordo charlatán"
"BOCH","Poecile hudsonicus","Boreal Chickadee","Mésange à tête brune","Carbonero boreal"
"BOGU","Chroicocephalus philadelphia","Bonaparte's Gull","Mouette de Bonaparte","Gaviota de Bonaparte"
"BOOW","Aegolius funereus","Boreal Owl","Nyctale de Tengmalm","Mochuelo boreal"
"BOWA","Bombycilla garrulus","Bohemian Waxwing","Jaseur boréal","Ampelis europeo"
"BRAM","Fringilla montifringilla","Brambling","Pinson du Nord","Pinzón real"
"BRAN","Branta bernicla","Brant","Bernache cravant","Barnacla carinegra"
"BRBL","Euphagus cyanocephalus","Brewer's Blackbird","Quiscale de Brewer","Zanate de Brewer"
"BRBO","Sula leucogaster","Brown Booby","Fou brun","Piquero pardo"
"BRCR","Certhia americana","Brown Creeper","Grimpereau brun","Agateador americano"
"BRNG","Branta leucopsis","Barnacle Goose","Bernache nonnette","Barnacla cariblanca"
"BRPE","Pelecanus occidentalis","Brown Pelican","Pélican brun","Pelícano pardo"
"BRSP","Spizella breweri","Brewer's Sparrow","Bruant de Brewer","Chingolo de Brewer"
"BRST","Hydrobates castro","Band-rumped Storm-Petrel","Océanite de Castro","Paíño de Madeira"
"BRTH","Toxostoma rufum","Brown Thrasher","Moqueur roux","Cuitlacoche rojizo"
"BTBW","Setophaga caerulescens","Black-throated Blue Warbler","Paruline bleue","Reinita azulada"
"BTNW","Setophaga virens","Black-throated Green Warbler","Paruline à gorge noire","Reinita dorsiverde"
"BTPI","Patagioenas fasciata","Band-tailed Pigeon","Pigeon à queue barrée","Paloma torcaza septentrional"
"BTSP","Amphispiza bilineata","Black-throated Sparrow","Bruant à gorge noire","Chingolo gorjinegro"
