topic,english,french
Absence data,Records where surveys were conducted but the taxon was not documented.,
Accuracy,The degree to which the model matches the reality of a taxon's distribution.,
Algorithm,A set of mathematical rules that can be followed to produce an outcome.,
Appropriateness of the model,"The degree to which a model is suitable for a given application, including model assumptions, performance, and insights.",
Assumptions,"Statements taken as true without proof, often used to simplify complex systems or make predictions.",
AUC (Area Under the Curve),The probability that a random species presence and a random species absence are correctly ordered by the classifier; AUC values above 0.75 are considered potentially useful.,
Background data,"A set of locations, often unsampled, used to characterize predictors across the study area and contrast with locations where the focal taxon has been detected. Also known as pseudo-absence data.",
BCRs (Bird Conservation Regions),The primary units for bird population management in North America.,
Binary predictions,"A prediction with two outcomes, typically positive and negative. Binary predictions are often produced by thresholding a continuous prediction of probability.",
Bounding box,"The minimum rectangular area of a given object or data extent (e.g., raster or vector layer).",
BRTs (Boosted Regression Trees),"An ensemble modelling technique that builds a series of small decision trees sequentially (""boosting""), with each new tree correcting the errors of the previous ones to improve overall predictive performance.",
Classifier,Any model or method with a binary or categorical outcome (e.g. presence-absence).,
Coefficients,The numerical value that quantifies the strength and direction of the relationship between a predictor variable and a response variable.,
Commission error,"Predicting a species to be present at location where it is in fact absent (i.e., a false positive).",
Components,Types of materials that modelers can upload.,
Covariates,Environmental variables that are used to predict the likelihood of a species' distribution. Also known as predictors.,
Cross-validation,A model evaluation technique that partitions data into multiple training and testing subsets to assess how well a predictive model generalizes to independent data.,
Data cleaning,"Preparation of data to ensure it is accurate, complete, and consistent before modeling. This process addresses issues like missing values, outliers, incorrect data entry, and duplicated records.",
Data integration,The process of including data from multiple sources or formats into a single statistical framework to enable comprehensive analysis and interpretation.,
Data partitioning,"The process of dividing a dataset into separate subsets, typically for training, validation, and testing, to build and evaluate predictive models without overfitting. Methods range from non-spatial partitioning range from non-spatial (e.g., random k-fold, jacknife) to spatial partitioning (i.e., based on geographic regions, to account for spatial autocorrelation or regional differences).",
Deployment,"A set of materials deployed by the modeler for evaluation, sharing the same use case, modeling settings.",
Detection probability,"The probability of observing a species during a survey, given it is present.",
Ensemble modelling,The combination of multiple individual models to create a more accurate and robust model.,
Empirical evaluation,"Model evaluation using data-driven tests of model performance, typically by comparing independent data to model predictions.",
Evaluator,"A person using the evaluator component of the sdmEvaluationTool to review and provide feedback on a species distribution model. An evaluator can provide feedback from many valuable perspectives, including taxonomic or sampling expertise, statistical or modelling expertise, or model application for resource management.",
Expert evaluation,Model evaluation using specialist knowledge to judge the model's ecological realism and applicability.,
Extrapolation,The process of making predictions beyond the range of the data set used to train the model.,
False positive,"A negative instance that is classified as a positive (e.g., an absence labelled as an occurrence). Also known as a commission error.",
False negative,"A positive instance that is classified as a negative (e.g., an occurrence labelled as an absence). Also known as an omission error.",
Focal taxon,"The taxonomic group that the species modelled are all included in (e.g., birds, vertebrates, vascular plants).",
GAM (Generalized Additive Model),"A flexible type of regression that fits smooth curves to data instead of straight lines, allowing it to capture complex, non-linear relationships between variables.",
Georeferencing errors,"Georeferencing errors occur when a map or image is not accurately aligned with real-world coordinates through inaccurate coordinate recording, incorrect coordinate entry, misinterpretations of scales/units, and using inappropriate transformation methods.",
GitHub,"A free Microsoft cloud platform for storing, sharing, and collaboratively developing computer code.",
GLM (Generalized Linear Model),"A type of regression that relates a response variable to predictors through a link function, allowing it to handle different kinds of data such as counts, proportions, or continuous values.",
Habitat suitability,The degree to which environmental conditions can support viable populations.,
Hypotheses,A proposed explanation for the relationship between a species' distribution and its environment.,
Inputs,"Materials used to build a species distribution model, including tabular data for model training and raster layers of predictors for model prediction.",
Joint SDMs,Multivariate SDMs that model multiple species concurrently to account for species interactions.,
Kappa statistic,"A measure of model performance that quantifies how well a species distribution model's predictions agree with observed occurrences, correcting for chance agreement, with values closer to 1 indicating stronger agreement.",
Maxent (maximum entropy model),"A model of a species' potential distribution fit by finding probability pattern of environmental conditions with maximum entropy, given known occurrence data and environmental constraints.",
Metadata,"The descriptive details about a species distribution model that provide context, including model design, development, and implementation.",
Model,"A simplified representation of an ecological system, often mathematical, used to understand complex systems and predict outcomes.",
Model averaging,"The combination of predictions or parameter estimates from multiple models to account for model uncertainty and produce more robust, reliable results.",
Model bias,Systematic difference between the true value of a statistic and the estimate.,
